,date,poll,start,end,n,party,share
894,2017-11-23,insa,2017-11-21,2017-11-22,1069.0,CDU/CSU,0.32
895,2017-11-21,insa,2017-11-20,2017-11-20,1034.0,CDU/CSU,0.3
896,2017-11-21,insa,2017-11-17,2017-11-19,2027.0,CDU/CSU,0.31
897,2017-11-14,insa,2017-11-10,2017-11-13,2049.0,CDU/CSU,0.32
898,2017-11-07,insa,2017-11-03,2017-11-06,2023.0,CDU/CSU,0.31
899,2017-10-30,insa,2017-10-27,2017-10-28,1024.0,CDU/CSU,0.31
900,2017-10-24,insa,2017-10-23,2017-10-23,1002.0,CDU/CSU,0.33
901,2017-10-16,insa,2017-10-13,2017-10-16,2011.0,CDU/CSU,0.32
902,2017-10-10,insa,2017-10-06,2017-10-09,2015.0,CDU/CSU,0.32
903,2017-10-01,insa,2017-09-27,2017-09-28,1071.0,CDU/CSU,0.31
904,2021-09-16,yougov,2021-09-09,2021-09-14,1816.0,CDU/CSU,0.2
905,2021-10-09,yougov,2021-09-03,2021-09-07,1700.0,CDU/CSU,0.21
906,2021-03-09,yougov,2021-08-27,2021-08-31,1729.0,CDU/CSU,0.2
907,2021-08-27,yougov,2021-08-20,2021-08-24,1689.0,CDU/CSU,0.22
908,2021-07-30,yougov,2021-07-23,2021-07-26,1748.0,CDU/CSU,0.28
909,2021-02-07,yougov,2021-06-25,2021-06-28,1648.0,CDU/CSU,0.3
910,2021-05-27,yougov,2021-05-21,2021-05-24,1706.0,CDU/CSU,0.26
911,2021-04-30,yougov,2021-04-23,2021-04-26,1643.0,CDU/CSU,0.24
912,2021-01-04,yougov,2021-03-25,2021-03-29,1637.0,CDU/CSU,0.27
913,2021-02-26,yougov,2021-02-18,2021-02-22,1619.0,CDU/CSU,0.33
914,2021-04-02,yougov,2021-01-29,2021-02-01,1606.0,CDU/CSU,0.36
915,2021-06-01,yougov,2021-12-30,2021-01-05,1588.0,CDU/CSU,0.36
916,2020-11-26,yougov,2020-11-19,2020-11-23,1632.0,CDU/CSU,0.37
917,2020-10-30,yougov,2020-10-22,2020-10-26,1656.0,CDU/CSU,0.35
918,2020-09-25,yougov,2020-09-19,2020-09-21,1623.0,CDU/CSU,0.35
919,2020-08-28,yougov,2020-08-20,2020-08-24,1611.0,CDU/CSU,0.36
920,2020-06-08,yougov,2020-07-30,2020-08-04,1623.0,CDU/CSU,0.36
921,2020-06-26,yougov,2020-06-18,2020-06-22,1636.0,CDU/CSU,0.37
922,2020-05-28,yougov,2020-05-20,2020-05-26,1584.0,CDU/CSU,0.37
923,2020-04-30,yougov,2020-04-23,2020-04-27,1636.0,CDU/CSU,0.37
924,2020-03-04,yougov,2020-03-27,2020-03-30,1615.0,CDU/CSU,0.34
925,2020-06-03,yougov,2020-02-28,2020-03-02,1632.0,CDU/CSU,0.27
926,2019-12-18,yougov,2019-12-13,2019-12-17,1586.0,CDU/CSU,0.27
927,2019-11-27,yougov,2019-11-22,2019-11-26,1648.0,CDU/CSU,0.26
928,2019-06-11,yougov,2019-10-31,2019-11-05,1583.0,CDU/CSU,0.27
929,2019-03-10,yougov,2019-09-27,2019-10-01,1573.0,CDU/CSU,0.26
930,2019-11-09,yougov,2019-09-06,2019-09-10,1632.0,CDU/CSU,0.27
931,2019-07-31,yougov,2019-07-26,2019-07-29,1594.0,CDU/CSU,0.26
932,2019-03-07,yougov,2019-06-28,2019-07-02,1644.0,CDU/CSU,0.26
933,2019-05-23,yougov,2019-05-17,2019-05-21,1609.0,CDU/CSU,0.29
934,2019-03-05,yougov,2019-04-26,2019-04-29,1642.0,CDU/CSU,0.29
935,2019-03-28,yougov,2019-03-22,2019-03-26,1633.0,CDU/CSU,0.3
936,2019-02-27,yougov,2019-02-22,2019-02-26,1620.0,CDU/CSU,0.3
937,2019-01-31,yougov,2019-01-25,2019-01-29,1578.0,CDU/CSU,0.32
938,2018-12-28,yougov,2018-12-21,2018-12-27,1665.0,CDU/CSU,0.3
939,2018-11-28,yougov,2018-11-23,2018-11-27,1580.0,CDU/CSU,0.27
940,2018-07-11,yougov,2018-10-28,2018-11-04,1542.0,CDU/CSU,0.25
941,2018-09-27,yougov,2018-09-21,2018-09-25,1504.0,CDU/CSU,0.27
942,2018-08-30,yougov,2018-08-24,2018-08-28,1538.0,CDU/CSU,0.28
943,2018-07-25,yougov,2018-07-20,2018-07-24,1520.0,CDU/CSU,0.3
944,2018-06-27,yougov,2018-06-22,2018-06-26,1525.0,CDU/CSU,0.3
945,2018-05-30,yougov,2018-05-25,2018-05-29,1556.0,CDU/CSU,0.33
946,2018-04-25,yougov,2018-04-20,2018-04-24,1573.0,CDU/CSU,0.32
947,2018-03-28,yougov,2018-03-23,2018-03-27,1579.0,CDU/CSU,0.34
948,2018-02-28,yougov,2018-02-26,2018-02-28,1585.0,CDU/CSU,0.32
949,2018-01-25,yougov,2018-01-19,2018-01-23,1566.0,CDU/CSU,0.34
950,2017-12-28,yougov,2017-12-25,2017-12-27,1489.0,CDU/CSU,0.33
951,2017-11-29,yougov,2017-11-24,2017-11-28,1570.0,CDU/CSU,0.32
952,2017-10-08,yougov,2017-08-04,2017-08-08,1513.0,CDU/CSU,0.38
953,2017-12-07,yougov,2017-07-10,2017-07-12,1535.0,CDU/CSU,0.38
954,2017-12-05,yougov,2017-05-08,2017-05-11,2010.0,CDU/CSU,0.37
955,2021-08-09,allensbach,2021-09-01,2021-09-07,1258.0,SPD,0.27
956,2021-08-28,allensbach,2021-08-18,2021-08-26,1038.0,SPD,0.24
957,2021-08-19,allensbach,2021-08-05,2021-08-17,1018.0,SPD,0.195
958,2021-07-28,allensbach,2021-07-03,2021-07-22,1243.0,SPD,0.16
959,2021-07-20,allensbach,2021-07-03,2021-07-14,1028.0,SPD,0.165
960,2021-06-16,allensbach,2021-05-28,2021-06-09,1070.0,SPD,0.17
961,2021-05-19,allensbach,2021-05-01,2021-05-13,1027.0,SPD,0.16
962,2021-04-21,allensbach,2021-04-06,2021-04-15,1051.0,SPD,0.165
963,2021-03-24,allensbach,2021-03-08,2021-03-21,1006.0,SPD,0.18
964,2021-02-25,allensbach,2021-02-04,2021-02-17,1082.0,SPD,0.15
965,2021-01-28,allensbach,2021-01-10,2021-01-20,1080.0,SPD,0.16
966,2020-12-16,allensbach,2020-11-28,2020-12-10,1022.0,SPD,0.165
967,2020-11-18,allensbach,2020-11-01,2020-11-11,1286.0,SPD,0.17
968,2020-10-23,allensbach,2020-10-07,2020-10-20,1045.0,SPD,0.17
969,2020-09-22,allensbach,2020-09-04,2020-09-16,1043.0,SPD,0.17
970,2020-08-27,allensbach,2020-08-05,2020-08-18,1231.0,SPD,0.17
971,2020-07-22,allensbach,2020-07-03,2020-07-16,1237.0,SPD,0.155
972,2020-06-18,allensbach,2020-06-01,2020-06-13,1314.0,SPD,0.16
973,2020-05-22,allensbach,2020-05-06,2020-05-14,1013.0,SPD,0.155
974,2020-04-24,allensbach,2020-04-01,2020-04-15,1152.0,SPD,0.16
975,2020-03-25,allensbach,2020-03-05,2020-03-18,1219.0,SPD,0.165
976,2020-02-19,allensbach,2020-02-01,2020-02-12,1262.0,SPD,0.145
977,2020-01-29,allensbach,2020-01-09,2020-01-22,1273.0,SPD,0.14
978,2019-12-19,allensbach,2019-12-01,2019-12-11,1270.0,SPD,0.15
979,2019-11-19,allensbach,2019-11-02,2019-11-13,1298.0,SPD,0.14
980,2019-10-16,allensbach,2019-09-27,2019-10-10,1238.0,SPD,0.16
981,2019-09-17,allensbach,2019-09-01,2019-09-12,1255.0,SPD,0.15
982,2019-08-21,allensbach,2019-08-02,2019-08-15,1262.0,SPD,0.135
983,2019-07-24,allensbach,2019-07-01,2019-07-11,1228.0,SPD,0.145
984,2019-06-21,allensbach,2019-06-01,2019-06-12,1273.0,SPD,0.12
985,2019-05-23,allensbach,2019-05-03,2019-05-16,1283.0,SPD,0.175
986,2019-04-18,allensbach,2019-04-01,2019-04-12,1305.0,SPD,0.185
987,2019-03-27,allensbach,2019-03-07,2019-03-21,1198.0,SPD,0.18
988,2019-02-19,allensbach,2019-02-01,2019-02-13,1222.0,SPD,0.18
989,2019-01-23,allensbach,2019-01-05,2019-01-17,1249.0,SPD,0.165
990,2018-12-20,allensbach,2018-12-01,2018-12-12,1295.0,SPD,0.165
991,2018-11-30,allensbach,2018-11-02,2018-11-15,1242.0,SPD,0.17
992,2018-10-18,allensbach,2018-09-28,2018-10-11,1259.0,SPD,0.19
993,2018-09-18,allensbach,2018-09-01,2018-09-13,1258.0,SPD,0.195
994,2018-08-15,allensbach,2018-07-27,2018-08-09,1295.0,SPD,0.2
995,2018-07-17,allensbach,2018-07-01,2018-07-12,1295.0,SPD,0.2
996,2018-06-20,allensbach,2018-06-01,2018-06-13,1279.0,SPD,0.21
997,2018-05-17,allensbach,2018-04-24,2018-05-08,1253.0,SPD,0.2
998,2018-04-25,allensbach,2018-04-03,2018-04-17,1279.0,SPD,0.205
999,2018-03-21,allensbach,2018-03-02,2018-03-15,1256.0,SPD,0.19
1000,2018-02-23,allensbach,2018-02-02,2018-02-15,1271.0,SPD,0.175
1001,2018-01-25,allensbach,2018-01-05,2018-01-18,1221.0,SPD,0.21
1002,2017-12-21,allensbach,2017-12-01,2017-12-14,1443.0,SPD,0.21
1003,2017-11-30,allensbach,2017-11-22,2017-11-27,1299.0,SPD,0.215
1004,2017-10-25,allensbach,2017-10-07,2017-10-19,1454.0,SPD,0.205
1005,2021-09-16,emnid,2021-09-08,2021-09-14,1543.0,SPD,0.26
1006,2021-09-09,emnid,2021-09-01,2021-09-07,1901.0,SPD,0.25
1007,2021-02-09,emnid,2021-08-25,2021-08-31,1439.0,SPD,0.25
1008,2021-08-26,emnid,2021-08-18,2021-08-24,1919.0,SPD,0.23
1009,2021-08-19,emnid,2021-08-11,2021-08-17,1920.0,SPD,0.21
1010,2021-11-08,emnid,2021-08-04,2021-08-10,1446.0,SPD,0.19
1011,2021-04-08,emnid,2021-07-28,2021-08-03,1413.0,SPD,0.18
1012,2021-07-30,emnid,2021-07-20,2021-07-27,1441.0,SPD,0.17
1013,2021-07-23,emnid,2021-07-14,2021-07-20,1421.0,SPD,0.16
1014,2021-07-16,emnid,2021-07-07,2021-07-13,1495.0,SPD,0.15
1015,2021-10-07,emnid,2021-06-29,2021-07-06,1405.0,SPD,0.15
1016,2021-02-07,emnid,2021-06-23,2021-06-29,1418.0,SPD,0.16
1017,2021-06-25,emnid,2021-06-15,2021-06-22,1430.0,SPD,0.17
1018,2021-06-18,emnid,2021-06-09,2021-06-15,1413.0,SPD,0.17
1019,2021-11-06,emnid,2021-06-02,2021-06-08,1421.0,SPD,0.16
1020,2021-05-06,emnid,2021-05-26,2021-06-01,1419.0,SPD,0.16
1021,2021-05-28,emnid,2021-05-19,2021-05-25,1422.0,SPD,0.15
1022,2021-05-21,emnid,2021-05-11,2021-05-18,1445.0,SPD,0.14
1023,2021-05-15,emnid,2021-05-06,2021-05-11,1428.0,SPD,0.15
1024,2021-08-05,emnid,2021-04-29,2021-05-05,1910.0,SPD,0.16
1025,2021-01-05,emnid,2021-04-22,2021-04-28,1442.0,SPD,0.15
1026,2021-04-24,emnid,2021-04-15,2021-04-21,1225.0,SPD,0.13
1027,2021-04-18,emnid,2021-04-08,2021-04-14,1437.0,SPD,0.15
1028,2021-11-04,emnid,2021-03-31,2021-04-07,1448.0,SPD,0.15
1029,2021-04-04,emnid,2021-03-25,2021-03-31,1429.0,SPD,0.16
1030,2021-03-27,emnid,2021-03-18,2021-03-24,1447.0,SPD,0.17
1031,2021-03-20,emnid,2021-03-11,2021-03-17,1942.0,SPD,0.17
1032,2021-03-14,emnid,2021-03-04,2021-03-10,2378.0,SPD,0.16
1033,2021-07-03,emnid,2021-02-25,2021-03-03,2410.0,SPD,0.16
1034,2021-02-27,emnid,2021-02-18,2021-02-24,1869.0,SPD,0.16
1035,2021-02-20,emnid,2021-02-11,2021-02-17,1905.0,SPD,0.16
1036,2021-02-14,emnid,2021-02-04,2021-02-10,1569.0,SPD,0.17
1037,2021-07-02,emnid,2021-01-28,2021-02-03,1412.0,SPD,0.16
1038,2021-01-31,emnid,2021-01-21,2021-01-27,1427.0,SPD,0.15
1039,2021-01-24,emnid,2021-01-14,2021-01-20,1922.0,SPD,0.15
1040,2021-01-17,emnid,2021-01-05,2021-01-13,2398.0,SPD,0.15
1041,2020-12-19,emnid,2020-12-10,2020-12-16,2401.0,SPD,0.17
1042,2020-12-13,emnid,2020-12-03,2020-12-09,2374.0,SPD,0.16
1043,2020-06-12,emnid,2020-11-26,2020-12-02,1438.0,SPD,0.15
1044,2020-11-29,emnid,2020-11-19,2020-11-25,1517.0,SPD,0.16
1045,2020-11-22,emnid,2020-11-12,2020-11-18,1927.0,SPD,0.16
1046,2020-11-15,emnid,2020-11-05,2020-11-11,2405.0,SPD,0.15
1047,2020-08-11,emnid,2020-10-29,2020-11-04,1415.0,SPD,0.16
1048,2020-01-11,emnid,2020-10-22,2020-10-28,1987.0,SPD,0.15
1049,2020-10-24,emnid,2020-10-15,2020-10-21,1434.0,SPD,0.15
1050,2020-10-17,emnid,2020-10-08,2020-10-14,2407.0,SPD,0.16
1051,2020-11-10,emnid,2020-10-01,2020-10-07,1411.0,SPD,0.17
1052,2020-04-10,emnid,2020-09-22,2020-09-30,2397.0,SPD,0.16
1053,2020-09-27,emnid,2020-09-17,2020-09-23,1509.0,SPD,0.16
1054,2020-09-19,emnid,2020-09-10,2020-09-16,1534.0,SPD,0.16
1055,2020-09-13,emnid,2020-09-03,2020-09-09,1446.0,SPD,0.17
1056,2020-06-09,emnid,2020-08-27,2020-09-02,1447.0,SPD,0.17
1057,2020-08-30,emnid,2020-08-18,2020-08-26,1597.0,SPD,0.16
1058,2020-08-23,emnid,2020-08-13,2020-08-19,2107.0,SPD,0.17
1059,2020-08-16,emnid,2020-08-06,2020-08-12,1912.0,SPD,0.18
1060,2020-09-08,emnid,2020-07-30,2020-08-06,1564.0,SPD,0.15
1061,2020-02-08,emnid,2020-07-23,2020-07-29,1449.0,SPD,0.16
1062,2020-07-26,emnid,2020-07-16,2020-07-22,2031.0,SPD,0.15
1063,2020-07-18,emnid,2020-07-09,2020-07-15,1449.0,SPD,0.16
1064,2020-12-07,emnid,2020-07-02,2020-07-08,1426.0,SPD,0.15
1065,2020-04-07,emnid,2020-06-24,2020-07-02,1436.0,SPD,0.16
1066,2020-06-27,emnid,2020-06-18,2020-06-24,1550.0,SPD,0.16
1067,2020-06-20,emnid,2020-06-10,2020-06-17,2403.0,SPD,0.15
1068,2020-06-13,emnid,2020-06-04,2020-06-09,1934.0,SPD,0.15
1069,2020-06-06,emnid,2020-05-28,2020-06-03,1428.0,SPD,0.15
1070,2020-05-30,emnid,2020-05-20,2020-05-26,1934.0,SPD,0.16
1071,2020-05-23,emnid,2020-05-14,2020-05-19,1914.0,SPD,0.16
1072,2020-05-16,emnid,2020-05-07,2020-05-13,1559.0,SPD,0.16
1073,2020-09-05,emnid,2020-04-30,2020-05-06,1426.0,SPD,0.17
1074,2020-02-05,emnid,2020-04-22,2020-04-29,1443.0,SPD,0.15
1075,2020-04-25,emnid,2020-04-16,2020-04-22,2003.0,SPD,0.16
1076,2020-04-18,emnid,2020-04-09,2020-04-15,1534.0,SPD,0.18
1077,2020-11-04,emnid,2020-04-02,2020-04-08,1912.0,SPD,0.17
1078,2020-04-04,emnid,2020-03-25,2020-04-01,1426.0,SPD,0.18
1079,2020-03-28,emnid,2020-03-18,2020-03-25,1441.0,SPD,0.18
1080,2020-03-21,emnid,2020-03-12,2020-03-18,1603.0,SPD,0.16
1081,2020-03-14,emnid,2020-03-04,2020-03-11,1414.0,SPD,0.17
1082,2020-08-03,emnid,2020-02-27,2020-03-04,1423.0,SPD,0.17
1083,2020-01-03,emnid,2020-02-20,2020-02-27,1509.0,SPD,0.16
1084,2020-02-22,emnid,2020-02-13,2020-02-19,1417.0,SPD,0.15
1085,2020-02-15,emnid,2020-02-06,2020-02-12,1886.0,SPD,0.15
1086,2020-09-02,emnid,2020-01-30,2020-02-05,1889.0,SPD,0.15
1087,2020-01-02,emnid,2020-01-23,2020-01-29,1442.0,SPD,0.15
1088,2020-01-25,emnid,2020-01-16,2020-01-22,2100.0,SPD,0.14
1089,2020-01-18,emnid,2020-01-09,2020-01-15,2009.0,SPD,0.15
1090,2020-11-01,emnid,2020-12-19,2020-01-08,1829.0,SPD,0.14
1091,2019-12-21,emnid,2019-12-12,2019-12-18,1899.0,SPD,0.15
1092,2019-12-14,emnid,2019-12-05,2019-12-11,1978.0,SPD,0.16
1093,2019-07-12,emnid,2019-11-28,2019-12-04,1876.0,SPD,0.16
1094,2019-11-30,emnid,2019-11-20,2019-11-27,1910.0,SPD,0.15
1095,2019-11-23,emnid,2019-11-13,2019-11-20,1905.0,SPD,0.15
1096,2019-11-16,emnid,2019-11-07,2019-11-13,1525.0,SPD,0.17
1097,2019-09-11,emnid,2019-10-30,2019-11-06,1431.0,SPD,0.16
1098,2019-02-11,emnid,2019-10-24,2019-10-30,1920.0,SPD,0.16
1099,2019-10-26,emnid,2019-10-17,2019-10-23,1441.0,SPD,0.15
1100,2019-10-19,emnid,2019-10-10,2019-10-16,1444.0,SPD,0.15
1101,2019-12-10,emnid,2019-10-02,2019-10-09,1916.0,SPD,0.14
1102,2019-05-10,emnid,2019-09-26,2019-10-01,1449.0,SPD,0.15
1103,2019-09-28,emnid,2019-09-19,2019-09-25,1719.0,SPD,0.16
1104,2019-09-21,emnid,2019-09-12,2019-09-18,1639.0,SPD,0.15
1105,2019-09-14,emnid,2019-09-05,2019-09-11,2835.0,SPD,0.16
1106,2019-07-09,emnid,2019-08-29,2019-09-04,1884.0,SPD,0.16
1107,2019-08-31,emnid,2019-08-22,2019-08-28,1434.0,SPD,0.15
1108,2019-08-24,emnid,2019-08-15,2019-08-21,1555.0,SPD,0.15
1109,2019-08-17,emnid,2019-08-08,2019-08-14,1897.0,SPD,0.14
1110,2019-10-08,emnid,2019-08-01,2019-08-07,2388.0,SPD,0.14
1111,2019-03-08,emnid,2019-07-25,2019-07-31,1419.0,SPD,0.13
1112,2019-07-27,emnid,2019-07-18,2019-07-24,1520.0,SPD,0.14
1113,2019-07-20,emnid,2019-07-11,2019-07-17,1908.0,SPD,0.14
1114,2019-07-13,emnid,2019-07-04,2019-07-10,2377.0,SPD,0.15
1115,2019-06-07,emnid,2019-06-27,2019-07-03,2389.0,SPD,0.13
1116,2019-06-29,emnid,2019-06-21,2019-06-26,1906.0,SPD,0.13
1117,2019-06-22,emnid,2019-06-13,2019-06-18,1910.0,SPD,0.12
1118,2019-06-15,emnid,2019-06-06,2019-06-12,2377.0,SPD,0.12
1119,2019-08-06,emnid,2019-05-29,2019-06-05,1903.0,SPD,0.12
1120,2019-01-06,emnid,2019-05-23,2019-05-28,1413.0,SPD,0.16
1121,2019-05-25,emnid,2019-05-16,2019-05-22,1895.0,SPD,0.17
1122,2019-05-18,emnid,2019-05-09,2019-05-15,1975.0,SPD,0.16
1123,2019-11-05,emnid,2019-05-02,2019-05-08,2393.0,SPD,0.16
1124,2019-04-05,emnid,2019-04-25,2019-04-30,1903.0,SPD,0.17
1125,2019-04-27,emnid,2019-04-18,2019-04-24,1433.0,SPD,0.17
1126,2019-04-20,emnid,2019-04-11,2019-04-17,2709.0,SPD,0.18
1127,2019-04-13,emnid,2019-04-04,2019-04-10,2559.0,SPD,0.17
1128,2019-06-04,emnid,2019-03-28,2019-04-03,2335.0,SPD,0.17
1129,2019-03-30,emnid,2019-03-21,2019-03-27,2361.0,SPD,0.16
1130,2019-03-23,emnid,2019-03-14,2019-03-20,1518.0,SPD,0.17
1131,2019-03-16,emnid,2019-03-07,2019-03-13,1904.0,SPD,0.16
1132,2019-09-03,emnid,2019-02-28,2019-03-06,1906.0,SPD,0.17
1133,2019-02-03,emnid,2019-02-21,2019-02-27,1420.0,SPD,0.18
1134,2019-02-23,emnid,2019-02-14,2019-02-20,1511.0,SPD,0.19
1135,2019-02-16,emnid,2019-02-07,2019-02-13,1891.0,SPD,0.19
1136,2019-09-02,emnid,2019-01-31,2019-02-06,1900.0,SPD,0.17
1137,2019-02-02,emnid,2019-01-24,2019-01-30,1434.0,SPD,0.16
1138,2019-01-26,emnid,2019-01-17,2019-01-23,2017.0,SPD,0.16
1139,2019-01-19,emnid,2019-01-10,2019-01-16,1448.0,SPD,0.15
1140,2019-12-01,emnid,2019-01-03,2019-01-09,1964.0,SPD,0.15
1141,2018-12-22,emnid,2018-12-13,2018-12-19,1889.0,SPD,0.15
1142,2018-12-15,emnid,2018-12-06,2018-12-12,1997.0,SPD,0.15
1143,2018-08-12,emnid,2018-11-29,2018-12-05,2469.0,SPD,0.15
1144,2018-01-12,emnid,2018-11-22,2018-11-28,1531.0,SPD,0.15
1145,2018-11-24,emnid,2018-11-15,2018-11-21,2361.0,SPD,0.15
1146,2018-11-17,emnid,2018-11-08,2018-11-14,1987.0,SPD,0.15
1147,2018-10-11,emnid,2018-11-05,2018-11-07,1518.0,SPD,0.15
1148,2018-03-11,emnid,2018-10-25,2018-10-31,1815.0,SPD,0.14
1149,2018-10-27,emnid,2018-10-18,2018-10-24,1905.0,SPD,0.15
1150,2018-10-20,emnid,2018-10-11,2018-10-17,1609.0,SPD,0.15
1151,2018-10-13,emnid,2018-10-04,2018-10-10,1899.0,SPD,0.17
1152,2018-06-10,emnid,2018-09-27,2018-10-02,1515.0,SPD,0.17
1153,2018-09-29,emnid,2018-09-20,2018-09-26,1902.0,SPD,0.16
1154,2018-09-22,emnid,2018-09-13,2018-09-19,2368.0,SPD,0.17
1155,2018-09-15,emnid,2018-09-06,2018-09-12,1978.0,SPD,0.18
1156,2018-08-09,emnid,2018-08-30,2018-09-05,2472.0,SPD,0.17
1157,2018-01-09,emnid,2018-08-23,2018-08-29,2390.0,SPD,0.19
1158,2018-08-25,emnid,2018-08-16,2018-08-22,1891.0,SPD,0.18
1159,2018-08-18,emnid,2018-08-09,2018-08-15,2942.0,SPD,0.17
1160,2018-11-08,emnid,2018-08-02,2018-08-08,2502.0,SPD,0.17
1161,2018-04-08,emnid,2018-07-26,2018-08-01,2478.0,SPD,0.18
1162,2018-07-28,emnid,2018-07-19,2018-07-25,2001.0,SPD,0.18
1163,2018-07-21,emnid,2018-07-12,2018-07-18,2476.0,SPD,0.19
1164,2018-07-14,emnid,2018-07-05,2018-07-11,2368.0,SPD,0.18
1165,2018-07-07,emnid,2018-06-28,2018-07-04,1894.0,SPD,0.17
1166,2018-06-30,emnid,2018-06-21,2018-06-28,1954.0,SPD,0.19
1167,2018-06-23,emnid,2018-06-14,2018-06-20,2336.0,SPD,0.18
1168,2018-06-16,emnid,2018-06-07,2018-06-13,2310.0,SPD,0.18
1169,2018-09-06,emnid,2018-05-30,2018-06-06,1950.0,SPD,0.19
1170,2018-02-06,emnid,2018-05-24,2018-05-29,1397.0,SPD,0.18
1171,2018-05-26,emnid,2018-05-17,2018-05-23,1946.0,SPD,0.17
1172,2018-05-19,emnid,2018-05-09,2018-05-16,2030.0,SPD,0.17
1173,2018-12-05,emnid,2018-05-03,2018-05-08,1489.0,SPD,0.17
1174,2018-05-05,emnid,2018-04-26,2018-05-02,1507.0,SPD,0.17
1175,2018-04-28,emnid,2018-04-19,2018-04-25,2350.0,SPD,0.18
1176,2018-04-21,emnid,2018-04-12,2018-04-18,2437.0,SPD,0.18
1177,2018-04-14,emnid,2018-04-05,2018-04-11,1786.0,SPD,0.18
1178,2018-07-04,emnid,2018-03-29,2018-04-05,1414.0,SPD,0.17
1179,2018-03-31,emnid,2018-03-22,2018-03-28,1982.0,SPD,0.18
1180,2018-03-24,emnid,2018-03-15,2018-03-21,1972.0,SPD,0.18
1181,2018-03-17,emnid,2018-03-08,2018-03-14,1959.0,SPD,0.19
1182,2018-10-03,emnid,2018-03-01,2018-03-07,1869.0,SPD,0.19
1183,2018-03-03,emnid,2018-02-22,2018-02-28,1890.0,SPD,0.16
1184,2018-02-24,emnid,2018-02-15,2018-02-21,1985.0,SPD,0.17
1185,2018-02-17,emnid,2018-02-08,2018-02-14,1478.0,SPD,0.19
1186,2018-10-02,emnid,2018-02-01,2018-02-07,1226.0,SPD,0.2
1187,2018-03-02,emnid,2018-01-25,2018-01-31,1247.0,SPD,0.2
1188,2018-01-27,emnid,2018-01-18,2018-01-24,1513.0,SPD,0.2
1189,2018-01-20,emnid,2018-01-11,2018-01-17,1419.0,SPD,0.21
1190,2018-01-13,emnid,2018-01-04,2018-01-10,1899.0,SPD,0.21
1191,2018-06-01,emnid,2018-12-21,2018-01-03,1440.0,SPD,0.2
1192,2017-12-23,emnid,2017-12-14,2017-12-20,1861.0,SPD,0.21
1193,2017-12-16,emnid,2017-12-07,2017-12-13,1865.0,SPD,0.22
1194,2017-11-25,emnid,2017-11-20,2017-11-23,1225.0,SPD,0.22
1195,2017-11-18,emnid,2017-11-09,2017-11-15,1842.0,SPD,0.21
1196,2017-11-11,emnid,2017-11-02,2017-11-08,1392.0,SPD,0.22
1197,2017-10-28,emnid,2017-10-19,2017-10-25,2296.0,SPD,0.22
1198,2017-10-21,emnid,2017-10-12,2017-10-18,2304.0,SPD,0.21
1199,2017-10-14,emnid,2017-10-05,2017-10-11,1960.0,SPD,0.21
1200,2017-09-30,emnid,2017-09-25,2017-09-27,1038.0,SPD,0.21
1201,2017-12-08,emnid,2017-08-03,2017-08-09,1886.0,SPD,0.24
1202,2017-10-06,emnid,2017-06-01,2017-06-07,1398.0,SPD,0.25
1203,2017-11-03,emnid,2017-03-02,2017-03-08,1882.0,SPD,0.33
1204,2017-11-02,emnid,2017-02-02,2017-02-08,1966.0,SPD,0.32
1205,2021-09-21,forsa,2021-09-14,2021-09-20,2502.0,SPD,0.25
1206,2021-09-14,forsa,2021-09-07,2021-09-13,2501.0,SPD,0.25
1207,2021-07-09,forsa,2021-08-31,2021-09-06,2505.0,SPD,0.25
1208,2021-08-31,forsa,2021-08-24,2021-08-30,2508.0,SPD,0.23
1209,2021-08-24,forsa,2021-08-17,2021-08-23,2504.0,SPD,0.23
1210,2021-08-18,forsa,2021-08-10,2021-08-16,2501.0,SPD,0.21
1211,2021-11-08,forsa,2021-08-03,2021-08-09,2509.0,SPD,0.19
1212,2021-03-08,forsa,2021-07-27,2021-08-02,2502.0,SPD,0.16
1213,2021-07-28,forsa,2021-07-20,2021-07-26,2501.0,SPD,0.15
1214,2021-07-21,forsa,2021-07-13,2021-07-19,2503.0,SPD,0.16
1215,2021-07-14,forsa,2021-07-06,2021-07-12,2502.0,SPD,0.15
1216,2021-07-07,forsa,2021-06-29,2021-07-05,2505.0,SPD,0.15
1217,2021-06-30,forsa,2021-06-22,2021-06-28,2501.0,SPD,0.14
1218,2021-06-23,forsa,2021-06-15,2021-06-21,2502.0,SPD,0.15
1219,2021-06-16,forsa,2021-06-08,2021-06-14,2501.0,SPD,0.14
1220,2021-09-06,forsa,2021-06-01,2021-06-07,2501.0,SPD,0.14
1221,2021-02-06,forsa,2021-05-25,2021-05-31,2500.0,SPD,0.14
1222,2021-05-26,forsa,2021-05-18,2021-05-21,2004.0,SPD,0.14
1223,2021-05-19,forsa,2021-05-11,2021-05-17,2001.0,SPD,0.15
1224,2021-12-05,forsa,2021-05-04,2021-05-10,2501.0,SPD,0.15
1225,2021-12-05,forsa,2021-05-04,2021-05-10,2501.0,SPD,0.15
1226,2021-05-05,forsa,2021-04-27,2021-05-03,2508.0,SPD,0.14
1227,2021-04-28,forsa,2021-04-20,2021-04-26,2507.0,SPD,0.13
1228,2021-04-20,forsa,2021-04-20,2021-04-20,1502.0,SPD,0.13
1229,2021-04-20,forsa,2021-04-13,2021-04-16,2003.0,SPD,0.15
