election_date,date,poll,start,end,n,party,share
1953-09-06,1953-04-15,allensbach,1953-04-15,1953-04-15,NA,cdu,37
1953-09-06,1953-05-15,allensbach,1953-05-15,1953-05-15,NA,cdu,38
1953-09-06,1953-06-15,allensbach,1953-06-15,1953-06-15,NA,cdu,39
1953-09-06,1953-07-15,allensbach,1953-07-15,1953-07-15,NA,cdu,37
1953-09-06,1953-08-15,allensbach,1953-08-15,1953-08-15,NA,cdu,41
1957-09-15,1953-10-15,allensbach,1953-10-15,1953-10-15,NA,cdu,48
1957-09-15,1953-11-15,allensbach,1953-11-15,1953-11-15,NA,cdu,48
1957-09-15,1953-12-15,allensbach,1953-12-15,1953-12-15,NA,cdu,43
1957-09-15,1954-01-15,allensbach,1954-01-15,1954-01-15,NA,cdu,45
1957-09-15,1954-02-15,allensbach,1954-02-15,1954-02-15,NA,cdu,44
1957-09-15,1954-03-15,allensbach,1954-03-15,1954-03-15,NA,cdu,44
1957-09-15,1954-04-15,allensbach,1954-04-15,1954-04-15,NA,cdu,42
1957-09-15,1954-05-15,allensbach,1954-05-15,1954-05-15,NA,cdu,39
1957-09-15,1954-07-15,allensbach,1954-07-15,1954-07-15,NA,cdu,40
1957-09-15,1954-09-15,allensbach,1954-09-15,1954-09-15,NA,cdu,42
1957-09-15,1954-10-15,allensbach,1954-10-15,1954-10-15,NA,cdu,43
1957-09-15,1954-11-15,allensbach,1954-11-15,1954-11-15,NA,cdu,44
1957-09-15,1954-12-15,allensbach,1954-12-15,1954-12-15,NA,cdu,41
1957-09-15,1955-01-15,allensbach,1955-01-15,1955-01-15,NA,cdu,41
1957-09-15,1955-02-15,allensbach,1955-02-15,1955-02-15,NA,cdu,42
1957-09-15,1955-03-15,allensbach,1955-03-15,1955-03-15,NA,cdu,40
1957-09-15,1955-05-15,allensbach,1955-05-15,1955-05-15,NA,cdu,41
1957-09-15,1955-06-15,allensbach,1955-06-15,1955-06-15,NA,cdu,43
1957-09-15,1955-08-15,allensbach,1955-08-15,1955-08-15,NA,cdu,44
1957-09-15,1955-09-15,allensbach,1955-09-15,1955-09-15,NA,cdu,47
1957-09-15,1955-11-15,allensbach,1955-11-15,1955-11-15,NA,cdu,44
1957-09-15,1955-12-15,allensbach,1955-12-15,1955-12-15,NA,cdu,43
1957-09-15,1956-01-15,allensbach,1956-01-15,1956-01-15,NA,cdu,41
1957-09-15,1956-02-15,allensbach,1956-02-15,1956-02-15,NA,cdu,44
1957-09-15,1956-03-15,allensbach,1956-03-15,1956-03-15,NA,cdu,42
1957-09-15,1956-04-15,allensbach,1956-04-15,1956-04-15,NA,cdu,42
1957-09-15,1956-05-15,allensbach,1956-05-15,1956-05-15,NA,cdu,41
1957-09-15,1956-07-15,allensbach,1956-07-15,1956-07-15,NA,cdu,37
1957-09-15,1956-08-15,allensbach,1956-08-15,1956-08-15,NA,cdu,40
1957-09-15,1956-09-15,allensbach,1956-09-15,1956-09-15,NA,cdu,41
1957-09-15,1956-11-15,allensbach,1956-11-15,1956-11-15,NA,cdu,38
1957-09-15,1956-12-15,allensbach,1956-12-15,1956-12-15,NA,cdu,39
1957-09-15,1957-01-15,allensbach,1957-01-15,1957-01-15,NA,cdu,42
1957-09-15,1957-02-15,allensbach,1957-02-15,1957-02-15,NA,cdu,42
1957-09-15,1957-03-15,allensbach,1957-03-15,1957-03-15,NA,cdu,41
1957-09-15,1957-04-15,allensbach,1957-04-15,1957-04-15,NA,cdu,41
1957-09-15,1957-05-15,allensbach,1957-05-15,1957-05-15,NA,cdu,42
1957-09-15,1957-07-15,allensbach,1957-07-15,1957-07-15,NA,cdu,44
1957-09-15,1957-08-15,allensbach,1957-08-15,1957-08-15,NA,cdu,46
1957-09-15,1957-09-14,allensbach,1957-09-14,1957-09-14,1800,cdu,50
1961-09-17,1957-10-15,allensbach,1957-10-15,1957-10-15,NA,cdu,52
1961-09-17,1957-12-15,allensbach,1957-12-15,1957-12-15,NA,cdu,51
1961-09-17,1958-01-15,allensbach,1958-01-15,1958-01-15,NA,cdu,50
1961-09-17,1958-02-15,allensbach,1958-02-15,1958-02-15,NA,cdu,47
1961-09-17,1958-03-15,allensbach,1958-03-15,1958-03-15,NA,cdu,49
1961-09-17,1958-04-15,allensbach,1958-04-15,1958-04-15,NA,cdu,42
1961-09-17,1958-05-15,allensbach,1958-05-15,1958-05-15,NA,cdu,46
1961-09-17,1958-07-15,allensbach,1958-07-15,1958-07-15,NA,cdu,46
1961-09-17,1958-08-15,allensbach,1958-08-15,1958-08-15,NA,cdu,49
1961-09-17,1958-09-15,allensbach,1958-09-15,1958-09-15,NA,cdu,50
1961-09-17,1958-10-15,allensbach,1958-10-15,1958-10-15,NA,cdu,50
1961-09-17,1958-11-15,allensbach,1958-11-15,1958-11-15,NA,cdu,47
1961-09-17,1958-12-15,allensbach,1958-12-15,1958-12-15,NA,cdu,44
1961-09-17,1959-01-15,allensbach,1959-01-15,1959-01-15,NA,cdu,46
1961-09-17,1959-02-15,allensbach,1959-02-15,1959-02-15,NA,cdu,46
1961-09-17,1959-03-15,allensbach,1959-03-15,1959-03-15,NA,cdu,52
1961-09-17,1959-04-15,allensbach,1959-04-15,1959-04-15,NA,cdu,47
1961-09-17,1959-05-15,allensbach,1959-05-15,1959-05-15,NA,cdu,47
1961-09-17,1959-06-15,allensbach,1959-06-15,1959-06-15,NA,cdu,47
1961-09-17,1959-07-15,allensbach,1959-07-15,1959-07-15,NA,cdu,46
1961-09-17,1959-08-15,allensbach,1959-08-15,1959-08-15,NA,cdu,46
1961-09-17,1959-09-15,allensbach,1959-09-15,1959-09-15,NA,cdu,44
1961-09-17,1959-10-15,allensbach,1959-10-15,1959-10-15,NA,cdu,44
1961-09-17,1959-11-15,allensbach,1959-11-15,1959-11-15,NA,cdu,46
1961-09-17,1959-12-15,allensbach,1959-12-15,1959-12-15,NA,cdu,48
1961-09-17,1960-01-15,allensbach,1960-01-15,1960-01-15,NA,cdu,43
1961-09-17,1960-02-15,allensbach,1960-02-15,1960-02-15,NA,cdu,43
1961-09-17,1960-03-15,allensbach,1960-03-15,1960-03-15,NA,cdu,44
1961-09-17,1960-05-15,allensbach,1960-05-15,1960-05-15,NA,cdu,45
1961-09-17,1960-06-15,allensbach,1960-06-15,1960-06-15,NA,cdu,44
1961-09-17,1960-07-15,allensbach,1960-07-15,1960-07-15,NA,cdu,45
1961-09-17,1960-08-15,allensbach,1960-08-15,1960-08-15,NA,cdu,47
1961-09-17,1960-09-15,allensbach,1960-09-15,1960-09-15,NA,cdu,43
1961-09-17,1960-10-15,allensbach,1960-10-15,1960-10-15,NA,cdu,45
1961-09-17,1960-11-15,allensbach,1960-11-15,1960-11-15,NA,cdu,46
1961-09-17,1960-12-15,allensbach,1960-12-15,1960-12-15,NA,cdu,52
1961-09-17,1961-01-15,allensbach,1961-01-15,1961-01-15,NA,cdu,52
1961-09-17,1961-02-15,allensbach,1961-02-15,1961-02-15,NA,cdu,49
1961-09-17,1961-03-15,allensbach,1961-03-15,1961-03-15,NA,cdu,44
1961-09-17,1961-04-15,allensbach,1961-04-15,1961-04-15,NA,cdu,45
1961-09-17,1961-05-15,allensbach,1961-05-15,1961-05-15,NA,cdu,51
1961-09-17,1961-06-15,allensbach,1961-06-15,1961-06-15,NA,cdu,49
1961-09-17,1961-07-15,allensbach,1961-07-15,1961-07-15,NA,cdu,49
1961-09-17,1961-08-12,allensbach,1961-08-12,1961-08-12,1000,cdu,50
1961-09-17,1961-09-14,allensbach,1961-09-14,1961-09-14,1000,cdu,43
1965-09-19,1961-10-15,allensbach,1961-10-15,1961-10-15,NA,cdu,45
1965-09-19,1961-12-15,allensbach,1961-12-15,1961-12-15,NA,cdu,43
1965-09-19,1962-02-15,allensbach,1962-02-15,1962-02-15,NA,cdu,48
1965-09-19,1962-03-15,allensbach,1962-03-15,1962-03-15,NA,cdu,46
1965-09-19,1962-04-15,allensbach,1962-04-15,1962-04-15,NA,cdu,47
1965-09-19,1962-06-15,allensbach,1962-06-15,1962-06-15,NA,cdu,43
1965-09-19,1962-07-15,allensbach,1962-07-15,1962-07-15,NA,cdu,47
1965-09-19,1962-08-15,allensbach,1962-08-15,1962-08-15,NA,cdu,45
1965-09-19,1962-09-15,allensbach,1962-09-15,1962-09-15,NA,cdu,47
1965-09-19,1962-11-15,allensbach,1962-11-15,1962-11-15,NA,cdu,44
1965-09-19,1962-12-15,allensbach,1962-12-15,1962-12-15,NA,cdu,44
1965-09-19,1963-01-15,allensbach,1963-01-15,1963-01-15,NA,cdu,47
1965-09-19,1963-02-15,allensbach,1963-02-15,1963-02-15,NA,cdu,46
1965-09-19,1963-04-15,allensbach,1963-04-15,1963-04-15,NA,cdu,43
1965-09-19,1963-05-15,allensbach,1963-05-15,1963-05-15,NA,cdu,41
1965-09-19,1963-07-15,allensbach,1963-07-15,1963-07-15,NA,cdu,41
1965-09-19,1963-09-15,allensbach,1963-09-15,1963-09-15,NA,cdu,42
1965-09-19,1963-10-15,allensbach,1963-10-15,1963-10-15,NA,cdu,49
1965-09-19,1963-11-15,allensbach,1963-11-15,1963-11-15,NA,cdu,47
1965-09-19,1963-12-15,allensbach,1963-12-15,1963-12-15,NA,cdu,43
1965-09-19,1964-01-15,allensbach,1964-01-15,1964-01-15,NA,cdu,43
1965-09-19,1964-02-15,allensbach,1964-02-15,1964-02-15,NA,cdu,46
1965-09-19,1964-03-15,allensbach,1964-03-15,1964-03-15,NA,cdu,45
1965-09-19,1964-04-15,allensbach,1964-04-15,1964-04-15,NA,cdu,47
1965-09-19,1964-05-15,allensbach,1964-05-15,1964-05-15,NA,cdu,47
1965-09-19,1964-06-15,allensbach,1964-06-15,1964-06-15,NA,cdu,46
1965-09-19,1964-07-15,allensbach,1964-07-15,1964-07-15,NA,cdu,45
1965-09-19,1964-08-15,allensbach,1964-08-15,1964-08-15,NA,cdu,43
1965-09-19,1964-09-15,allensbach,1964-09-15,1964-09-15,NA,cdu,46
1965-09-19,1964-10-15,allensbach,1964-10-15,1964-10-15,NA,cdu,43
1965-09-19,1964-11-15,allensbach,1964-11-15,1964-11-15,NA,cdu,45
1965-09-19,1964-12-15,allensbach,1964-12-15,1964-12-15,NA,cdu,45
1965-09-19,1965-01-15,allensbach,1965-01-15,1965-01-15,NA,cdu,46
1965-09-19,1965-02-15,allensbach,1965-02-15,1965-02-15,NA,cdu,42
1965-09-19,1965-03-15,allensbach,1965-03-15,1965-03-15,NA,cdu,44
1965-09-19,1965-04-15,allensbach,1965-04-15,1965-04-15,NA,cdu,44
1965-09-19,1965-05-15,allensbach,1965-05-15,1965-05-15,NA,cdu,47
1965-09-19,1965-06-15,allensbach,1965-06-15,1965-06-15,NA,cdu,46
1965-09-19,1965-07-15,allensbach,1965-07-15,1965-07-15,NA,cdu,48
1965-09-19,1965-08-15,allensbach,1965-08-15,1965-08-15,NA,cdu,45.5
1969-09-28,1965-12-15,allensbach,1965-12-15,1965-12-15,NA,cdu,41
1969-09-28,1966-01-15,allensbach,1966-01-15,1966-01-15,NA,cdu,42
1969-09-28,1966-02-15,allensbach,1966-02-15,1966-02-15,NA,cdu,44
1969-09-28,1966-03-15,allensbach,1966-03-15,1966-03-15,NA,cdu,44
1969-09-28,1966-04-15,allensbach,1966-04-15,1966-04-15,NA,cdu,43
1969-09-28,1966-05-15,allensbach,1966-05-15,1966-05-15,NA,cdu,48
1969-09-28,1966-07-15,allensbach,1966-07-15,1966-07-15,NA,cdu,42
1969-09-28,1966-08-15,allensbach,1966-08-15,1966-08-15,NA,cdu,39
1969-09-28,1966-09-15,allensbach,1966-09-15,1966-09-15,NA,cdu,38
1969-09-28,1966-11-15,allensbach,1966-11-15,1966-11-15,NA,cdu,43
1969-09-28,1966-12-15,allensbach,1966-12-15,1966-12-15,NA,cdu,41
1969-09-28,1967-01-15,allensbach,1967-01-15,1967-01-15,NA,cdu,41
1969-09-28,1967-02-15,allensbach,1967-02-15,1967-02-15,NA,cdu,41
1969-09-28,1967-03-15,allensbach,1967-03-15,1967-03-15,NA,cdu,46
1969-09-28,1967-04-15,allensbach,1967-04-15,1967-04-15,NA,cdu,45
1969-09-28,1967-05-15,allensbach,1967-05-15,1967-05-15,NA,cdu,49
1969-09-28,1967-06-15,allensbach,1967-06-15,1967-06-15,NA,cdu,47
1969-09-28,1967-08-15,allensbach,1967-08-15,1967-08-15,NA,cdu,44
1969-09-28,1967-09-15,allensbach,1967-09-15,1967-09-15,NA,cdu,47
1969-09-28,1967-10-15,allensbach,1967-10-15,1967-10-15,NA,cdu,43
1969-09-28,1967-11-15,allensbach,1967-11-15,1967-11-15,NA,cdu,47
1969-09-28,1967-12-15,allensbach,1967-12-15,1967-12-15,NA,cdu,43
1969-09-28,1968-01-15,allensbach,1968-01-15,1968-01-15,NA,cdu,42
1969-09-28,1968-02-15,allensbach,1968-02-15,1968-02-15,NA,cdu,44
1969-09-28,1968-03-15,allensbach,1968-03-15,1968-03-15,NA,cdu,42
1969-09-28,1968-04-15,allensbach,1968-04-15,1968-04-15,NA,cdu,42
1969-09-28,1968-05-15,allensbach,1968-05-15,1968-05-15,NA,cdu,42
1969-09-28,1968-06-15,allensbach,1968-06-15,1968-06-15,NA,cdu,46
1969-09-28,1968-08-15,allensbach,1968-08-15,1968-08-15,NA,cdu,42
1969-09-28,1968-09-15,allensbach,1968-09-15,1968-09-15,NA,cdu,44
1969-09-28,1968-10-15,allensbach,1968-10-15,1968-10-15,NA,cdu,41
1969-09-28,1968-11-15,allensbach,1968-11-15,1968-11-15,NA,cdu,44
1969-09-28,1968-12-15,allensbach,1968-12-15,1968-12-15,NA,cdu,42
1969-09-28,1969-01-15,allensbach,1969-01-15,1969-01-15,NA,cdu,44
1969-09-28,1969-03-15,allensbach,1969-03-15,1969-03-15,NA,cdu,43
1969-09-28,1969-04-15,allensbach,1969-04-15,1969-04-15,NA,cdu,45
1969-09-28,1969-05-15,allensbach,1969-05-15,1969-05-15,NA,cdu,44
1969-09-28,1969-07-15,allensbach,1969-07-15,1969-07-15,NA,cdu,43
1969-09-28,1969-09-10,allensbach,1969-09-10,1969-09-10,NA,cdu,44
1969-09-28,1969-09-24,allensbach,1969-09-24,1969-09-24,1000,cdu,44.5
1972-11-19,1969-10-15,allensbach,1969-10-15,1969-10-15,NA,cdu,47
1972-11-19,1969-11-15,allensbach,1969-11-15,1969-11-15,NA,cdu,46
1972-11-19,1970-01-15,allensbach,1970-01-15,1970-01-15,NA,cdu,42
1972-11-19,1970-03-15,allensbach,1970-03-15,1970-03-15,NA,cdu,41
1972-11-19,1970-04-15,allensbach,1970-04-15,1970-04-15,NA,cdu,41
1972-11-19,1970-05-15,allensbach,1970-05-15,1970-05-15,NA,cdu,41
1972-11-19,1970-07-15,allensbach,1970-07-15,1970-07-15,NA,cdu,50
1972-11-19,1970-09-15,allensbach,1970-09-15,1970-09-15,NA,cdu,45
1972-11-19,1970-11-15,allensbach,1970-11-15,1970-11-15,NA,cdu,45
1972-11-19,1970-12-15,allensbach,1970-12-15,1970-12-15,NA,cdu,45
1972-11-19,1971-01-15,allensbach,1971-01-15,1971-01-15,NA,cdu,46
1972-11-19,1971-03-15,allensbach,1971-03-15,1971-03-15,NA,cdu,44
1972-11-19,1971-04-15,allensbach,1971-04-15,1971-04-15,NA,cdu,48
1972-11-19,1971-05-15,allensbach,1971-05-15,1971-05-15,NA,cdu,46
1972-11-19,1971-06-15,allensbach,1971-06-15,1971-06-15,NA,cdu,47
1972-11-19,1971-09-15,allensbach,1971-09-15,1971-09-15,NA,cdu,49
1972-11-19,1971-10-15,allensbach,1971-10-15,1971-10-15,NA,cdu,43
1972-11-19,1971-12-15,allensbach,1971-12-15,1971-12-15,NA,cdu,43
1972-11-19,1972-01-15,allensbach,1972-01-15,1972-01-15,NA,cdu,44
1972-11-19,1972-02-15,allensbach,1972-02-15,1972-02-15,NA,cdu,44
1972-11-19,1972-03-15,allensbach,1972-03-15,1972-03-15,NA,cdu,44
1972-11-19,1972-04-15,allensbach,1972-04-15,1972-04-15,NA,cdu,43
1972-11-19,1972-05-15,allensbach,1972-05-15,1972-05-15,NA,cdu,43
1972-11-19,1972-06-15,allensbach,1972-06-15,1972-06-15,NA,cdu,46
1972-11-19,1972-07-15,allensbach,1972-07-15,1972-07-15,NA,cdu,46
1972-11-19,1972-08-15,allensbach,1972-08-15,1972-08-15,NA,cdu,47
1972-11-19,1972-09-15,allensbach,1972-09-15,1972-09-15,NA,cdu,44
1972-11-19,1972-10-03,allensbach,1972-10-03,1972-10-03,1000,cdu,49
1972-11-19,1972-10-29,allensbach,1972-10-29,1972-10-29,1000,cdu,45
1972-11-19,1972-10-31,allensbach,1972-10-31,1972-10-31,1000,cdu,46.400001525878906
1972-11-19,1972-11-17,allensbach,1972-11-17,1972-11-17,1000,cdu,46.5
1972-11-19,1972-11-18,allensbach,1972-11-18,1972-11-18,1000,cdu,44.79999923706055
1976-10-03,1972-12-15,allensbach,1972-12-15,1972-12-15,NA,cdu,45
1976-10-03,1973-01-15,allensbach,1973-01-15,1973-01-15,NA,cdu,45
1976-10-03,1973-02-15,allensbach,1973-02-15,1973-02-15,NA,cdu,43
1976-10-03,1973-03-15,allensbach,1973-03-15,1973-03-15,NA,cdu,44
1976-10-03,1973-04-15,allensbach,1973-04-15,1973-04-15,NA,cdu,47
1976-10-03,1973-06-15,allensbach,1973-06-15,1973-06-15,NA,cdu,46
1976-10-03,1973-07-15,allensbach,1973-07-15,1973-07-15,NA,cdu,47
1976-10-03,1973-09-15,allensbach,1973-09-15,1973-09-15,NA,cdu,48
1976-10-03,1973-10-15,allensbach,1973-10-15,1973-10-15,NA,cdu,47
1976-10-03,1973-11-15,allensbach,1973-11-15,1973-11-15,NA,cdu,49
1976-10-03,1973-12-15,allensbach,1973-12-15,1973-12-15,NA,cdu,50
1976-10-03,1974-01-15,allensbach,1974-01-15,1974-01-15,NA,cdu,50
1976-10-03,1974-02-15,allensbach,1974-02-15,1974-02-15,NA,cdu,50
1976-10-03,1974-03-15,allensbach,1974-03-15,1974-03-15,NA,cdu,52
1976-10-03,1974-04-15,allensbach,1974-04-15,1974-04-15,NA,cdu,52
1976-10-03,1974-05-15,allensbach,1974-05-15,1974-05-15,NA,cdu,49
1976-10-03,1974-06-15,allensbach,1974-06-15,1974-06-15,NA,cdu,49
1976-10-03,1974-07-15,allensbach,1974-07-15,1974-07-15,NA,cdu,46
1976-10-03,1974-08-15,allensbach,1974-08-15,1974-08-15,NA,cdu,46.5
1976-10-03,1974-09-15,allensbach,1974-09-15,1974-09-15,NA,cdu,47
1976-10-03,1974-10-15,allensbach,1974-10-15,1974-10-15,NA,cdu,53
1976-10-03,1974-11-15,allensbach,1974-11-15,1974-11-15,NA,cdu,53
1976-10-03,1974-12-15,allensbach,1974-12-15,1974-12-15,NA,cdu,53
1976-10-03,1975-01-15,allensbach,1975-01-15,1975-01-15,NA,cdu,53
1976-10-03,1975-02-15,allensbach,1975-02-15,1975-02-15,NA,cdu,53
1976-10-03,1975-03-15,allensbach,1975-03-15,1975-03-15,NA,cdu,50
1976-10-03,1975-04-15,allensbach,1975-04-15,1975-04-15,NA,cdu,50
1976-10-03,1975-05-15,allensbach,1975-05-15,1975-05-15,NA,cdu,49
1976-10-03,1975-06-15,allensbach,1975-06-15,1975-06-15,NA,cdu,47
1976-10-03,1975-07-15,allensbach,1975-07-15,1975-07-15,NA,cdu,50
1976-10-03,1975-08-15,allensbach,1975-08-15,1975-08-15,NA,cdu,50
1976-10-03,1975-09-15,allensbach,1975-09-15,1975-09-15,NA,cdu,49
1976-10-03,1975-10-15,allensbach,1975-10-15,1975-10-15,NA,cdu,50
1976-10-03,1975-11-15,allensbach,1975-11-15,1975-11-15,NA,cdu,51
1976-10-03,1975-12-15,allensbach,1975-12-15,1975-12-15,NA,cdu,47
1976-10-03,1976-01-15,allensbach,1976-01-15,1976-01-15,NA,cdu,49
1976-10-03,1976-02-15,allensbach,1976-02-15,1976-02-15,NA,cdu,51
1976-10-03,1976-03-15,allensbach,1976-03-15,1976-03-15,NA,cdu,52
1976-10-03,1976-04-15,allensbach,1976-04-15,1976-04-15,NA,cdu,51.5
1976-10-03,1976-05-15,allensbach,1976-05-15,1976-05-15,NA,cdu,51
1976-10-03,1976-06-15,allensbach,1976-06-15,1976-06-15,NA,cdu,49
1976-10-03,1976-07-15,allensbach,1976-07-15,1976-07-15,NA,cdu,50
1976-10-03,1976-08-15,allensbach,1976-08-15,1976-08-15,NA,cdu,49
1976-10-03,1976-09-03,allensbach,1976-09-03,1976-09-03,1000,cdu,49.20000076293945
1976-10-03,1976-09-10,allensbach,1976-09-10,1976-09-10,1000,cdu,49.70000076293945
1976-10-03,1976-09-17,allensbach,1976-09-17,1976-09-17,1000,cdu,50.400001525878906
1976-10-03,1976-09-22,allensbach,1976-09-22,1976-09-22,1000,cdu,48
1976-10-03,1976-09-29,allensbach,1976-09-29,1976-09-29,1000,cdu,47.5
1980-10-05,1976-10-15,allensbach,1976-10-15,1976-10-15,NA,cdu,48
1980-10-05,1976-11-15,allensbach,1976-11-15,1976-11-15,NA,cdu,46
1980-10-05,1976-12-15,allensbach,1976-12-15,1976-12-15,NA,cdu,49
1980-10-05,1977-01-15,allensbach,1977-01-15,1977-01-15,NA,cdu,50
1980-10-05,1977-02-15,allensbach,1977-02-15,1977-02-15,NA,cdu,51
1980-10-05,1977-03-15,allensbach,1977-03-15,1977-03-15,NA,cdu,52.5
1980-10-05,1977-04-15,allensbach,1977-04-15,1977-04-15,NA,cdu,54
1980-10-05,1977-05-15,allensbach,1977-05-15,1977-05-15,NA,cdu,53
1980-10-05,1977-06-15,allensbach,1977-06-15,1977-06-15,NA,cdu,51
1980-10-05,1977-07-15,allensbach,1977-07-15,1977-07-15,NA,cdu,52
1980-10-05,1977-08-15,allensbach,1977-08-15,1977-08-15,NA,cdu,51
1980-10-05,1977-09-15,allensbach,1977-09-15,1977-09-15,NA,cdu,51
1980-10-05,1977-10-15,allensbach,1977-10-15,1977-10-15,NA,cdu,50.5
1980-10-05,1977-11-15,allensbach,1977-11-15,1977-11-15,NA,cdu,51
1980-10-05,1977-12-15,allensbach,1977-12-15,1977-12-15,NA,cdu,50
1980-10-05,1978-01-15,allensbach,1978-01-15,1978-01-15,NA,cdu,51
1980-10-05,1978-02-15,allensbach,1978-02-15,1978-02-15,NA,cdu,49
1980-10-05,1978-03-15,allensbach,1978-03-15,1978-03-15,NA,cdu,52
1980-10-05,1978-04-15,allensbach,1978-04-15,1978-04-15,NA,cdu,51
1980-10-05,1978-05-15,allensbach,1978-05-15,1978-05-15,NA,cdu,50
1980-10-05,1978-06-15,allensbach,1978-06-15,1978-06-15,NA,cdu,50
1980-10-05,1978-07-15,allensbach,1978-07-15,1978-07-15,NA,cdu,49
1980-10-05,1978-08-15,allensbach,1978-08-15,1978-08-15,NA,cdu,50
1980-10-05,1978-09-15,allensbach,1978-09-15,1978-09-15,NA,cdu,50
1980-10-05,1978-10-15,allensbach,1978-10-15,1978-10-15,NA,cdu,47
1980-10-05,1978-11-15,allensbach,1978-11-15,1978-11-15,NA,cdu,48
1980-10-05,1978-12-15,allensbach,1978-12-15,1978-12-15,NA,cdu,48
1980-10-05,1979-01-15,allensbach,1979-01-15,1979-01-15,NA,cdu,46.5
1980-10-05,1979-02-15,allensbach,1979-02-15,1979-02-15,NA,cdu,47.70000076293945
1980-10-05,1979-03-15,allensbach,1979-03-15,1979-03-15,NA,cdu,45.5
1980-10-05,1979-04-15,allensbach,1979-04-15,1979-04-15,NA,cdu,47.099998474121094
1980-10-05,1979-05-15,allensbach,1979-05-15,1979-05-15,NA,cdu,47.400001525878906
1980-10-05,1979-06-15,allensbach,1979-06-15,1979-06-15,NA,cdu,42.70000076293945
1980-10-05,1979-07-15,allensbach,1979-07-15,1979-07-15,NA,cdu,46.099998474121094
1980-10-05,1979-08-15,allensbach,1979-08-15,1979-08-15,NA,cdu,47.70000076293945
1980-10-05,1979-09-15,allensbach,1979-09-15,1979-09-15,NA,cdu,45.20000076293945
1980-10-05,1979-10-15,allensbach,1979-10-15,1979-10-15,NA,cdu,44.79999923706055
1980-10-05,1979-11-15,allensbach,1979-11-15,1979-11-15,NA,cdu,46.400001525878906
1980-10-05,1979-12-15,allensbach,1979-12-15,1979-12-15,NA,cdu,45.29999923706055
1980-10-05,1980-01-15,allensbach,1980-01-15,1980-01-15,NA,cdu,46.599998474121094
1980-10-05,1980-02-15,allensbach,1980-02-15,1980-02-15,NA,cdu,46.099998474121094
1980-10-05,1980-03-15,allensbach,1980-03-15,1980-03-15,NA,cdu,45.20000076293945
1980-10-05,1980-04-15,allensbach,1980-04-15,1980-04-15,NA,cdu,44.900001525878906
1980-10-05,1980-05-15,allensbach,1980-05-15,1980-05-15,NA,cdu,44.099998474121094
1980-10-05,1980-06-15,allensbach,1980-06-15,1980-06-15,NA,cdu,45.5
1980-10-05,1980-07-15,allensbach,1980-07-15,1980-07-15,NA,cdu,45.5
